"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUS","GDP","TOT","USD_CAP","A","2017",50853.615427,
"AUS","GDP","TOT","USD_CAP","A","2018",53083.298192,
"AUS","GDP","TOT","USD_CAP","A","2019",53078.965373,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54185.337013,
"AUT","GDP","TOT","USD_CAP","A","2018",57068.534815,
"AUT","GDP","TOT","USD_CAP","A","2019",58664.718719,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52662.767819,
"BEL","GDP","TOT","USD_CAP","A","2019",54709.354773,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CAN","GDP","TOT","USD_CAP","A","2018",50239.988278,
"CAN","GDP","TOT","USD_CAP","A","2019",50660.587438,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41147.631528,
"CZE","GDP","TOT","USD_CAP","A","2019",43326.662998,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57453.005832,
"DNK","GDP","TOT","USD_CAP","A","2019",59870.025325,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49700.52107,
"FIN","GDP","TOT","USD_CAP","A","2019",51521.398254,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46419.314271,
"FRA","GDP","TOT","USD_CAP","A","2019",49344.708712,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55142.158063,"P"
"DEU","GDP","TOT","USD_CAP","A","2019",56284.936441,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27471.218206,
"GRC","GDP","TOT","USD_CAP","A","2017",28644.977147,
"GRC","GDP","TOT","USD_CAP","A","2018",29680.902369,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",30869.249859,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27911.664733,
"HUN","GDP","TOT","USD_CAP","A","2017",29465.126306,
"HUN","GDP","TOT","USD_CAP","A","2018",31831.981048,
"HUN","GDP","TOT","USD_CAP","A","2019",33956.821868,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",58320.911643,
"ISL","GDP","TOT","USD_CAP","A","2019",60126.541783,
"IRL","GDP","TOT","USD_CAP","A","2016",71594.095685,
"IRL","GDP","TOT","USD_CAP","A","2017",77832.00899,
"IRL","GDP","TOT","USD_CAP","A","2018",84781.721928,
"IRL","GDP","TOT","USD_CAP","A","2019",89680.969173,
"ITA","GDP","TOT","USD_CAP","A","2016",39926.966169,
"ITA","GDP","TOT","USD_CAP","A","2017",41581.131252,
"ITA","GDP","TOT","USD_CAP","A","2018",43097.264517,
"ITA","GDP","TOT","USD_CAP","A","2019",44397.556124,
"JPN","GDP","TOT","USD_CAP","A","2016",40642.704531,
"JPN","GDP","TOT","USD_CAP","A","2017",41531.221619,
"JPN","GDP","TOT","USD_CAP","A","2018",42415.262579,
"JPN","GDP","TOT","USD_CAP","A","2019",42938.81628,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"KOR","GDP","TOT","USD_CAP","A","2017",40957.347064,
"KOR","GDP","TOT","USD_CAP","A","2018",42486.739807,
"KOR","GDP","TOT","USD_CAP","A","2019",42728.031736,"P"
"LUX","GDP","TOT","USD_CAP","A","2016",110260.934439,
"LUX","GDP","TOT","USD_CAP","A","2017",112187.731906,
"LUX","GDP","TOT","USD_CAP","A","2018",116480.803842,
"LUX","GDP","TOT","USD_CAP","A","2019",120670.500099,
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"MEX","GDP","TOT","USD_CAP","A","2018",20518.580821,"P"
"MEX","GDP","TOT","USD_CAP","A","2019",20739.308737,"P"
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57899.824961,
"NLD","GDP","TOT","USD_CAP","A","2019",59674.76803,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39719.042939,
"NZL","GDP","TOT","USD_CAP","A","2017",42074.660571,
"NZL","GDP","TOT","USD_CAP","A","2018",43738.114648,
"NZL","GDP","TOT","USD_CAP","A","2019",44612.279404,
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"NOR","GDP","TOT","USD_CAP","A","2017",64050.366694,
"NOR","GDP","TOT","USD_CAP","A","2018",69709.381608,
"NOR","GDP","TOT","USD_CAP","A","2019",68343.740792,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
"POL","GDP","TOT","USD_CAP","A","2017",29714.590984,
"POL","GDP","TOT","USD_CAP","A","2018",31613.688164,
"POL","GDP","TOT","USD_CAP","A","2019",33858.276341,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"PRT","GDP","TOT","USD_CAP","A","2018",34931.85988,
"PRT","GDP","TOT","USD_CAP","A","2019",36871.738281,"P"
"SVK","GDP","TOT","USD_CAP","A","2016",29659.331169,
"SVK","GDP","TOT","USD_CAP","A","2017",30082.484108,
"SVK","GDP","TOT","USD_CAP","A","2018",31509.439604,
"SVK","GDP","TOT","USD_CAP","A","2019",32562.554072,
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"ESP","GDP","TOT","USD_CAP","A","2017",39580.188366,
"ESP","GDP","TOT","USD_CAP","A","2018",40747.03298,
"ESP","GDP","TOT","USD_CAP","A","2019",42197.335356,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"SWE","GDP","TOT","USD_CAP","A","2018",53553.312077,
"SWE","GDP","TOT","USD_CAP","A","2019",55337.872219,
"CHE","GDP","TOT","USD_CAP","A","2016",68105.138178,
"CHE","GDP","TOT","USD_CAP","A","2017",69103.567686,
"CHE","GDP","TOT","USD_CAP","A","2018",71671.505477,
"CHE","GDP","TOT","USD_CAP","A","2019",73143.783305,
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"TUR","GDP","TOT","USD_CAP","A","2017",28193.061398,
"TUR","GDP","TOT","USD_CAP","A","2018",28266.686871,
"TUR","GDP","TOT","USD_CAP","A","2019",27584.46933,
"GBR","GDP","TOT","USD_CAP","A","2016",44125.534988,
"GBR","GDP","TOT","USD_CAP","A","2017",45757.778123,
"GBR","GDP","TOT","USD_CAP","A","2018",47163.170633,
"GBR","GDP","TOT","USD_CAP","A","2019",48542.092734,
"USA","GDP","TOT","USD_CAP","A","2016",57846.274282,
"USA","GDP","TOT","USD_CAP","A","2017",59896.756042,
"USA","GDP","TOT","USD_CAP","A","2018",62783.978541,
"USA","GDP","TOT","USD_CAP","A","2019",65055.785369,
"CHL","GDP","TOT","USD_CAP","A","2016",23349.677001,
"CHL","GDP","TOT","USD_CAP","A","2017",24402.005375,
"CHL","GDP","TOT","USD_CAP","A","2018",24686.142367,
"CHL","GDP","TOT","USD_CAP","A","2019",25856.985466,
"CHN","GDP","TOT","USD_CAP","A","2016",13532.915183,
"CHN","GDP","TOT","USD_CAP","A","2017",14306.396116,
"COL","GDP","TOT","USD_CAP","A","2016",14054.69606,
"COL","GDP","TOT","USD_CAP","A","2017",14479.812544,
"COL","GDP","TOT","USD_CAP","A","2018",15256.201618,
"COL","GDP","TOT","USD_CAP","A","2019",16077.321381,"P"
"EST","GDP","TOT","USD_CAP","A","2016",31310.152103,
"EST","GDP","TOT","USD_CAP","A","2017",33867.803542,
"EST","GDP","TOT","USD_CAP","A","2018",36236.794279,
"EST","GDP","TOT","USD_CAP","A","2019",38354.573733,
"IND","GDP","TOT","USD_CAP","A","2016",5901.21084,
"IDN","GDP","TOT","USD_CAP","A","2016",10610.141435,
"IDN","GDP","TOT","USD_CAP","A","2017",11050.882373,
"ISR","GDP","TOT","USD_CAP","A","2016",37854.845318,
"ISR","GDP","TOT","USD_CAP","A","2017",39137.375997,
"ISR","GDP","TOT","USD_CAP","A","2018",40698.264187,
"ISR","GDP","TOT","USD_CAP","A","2019",42313.763663,
"RUS","GDP","TOT","USD_CAP","A","2016",24128.081806,
"RUS","GDP","TOT","USD_CAP","A","2017",25926.431403,
"RUS","GDP","TOT","USD_CAP","A","2018",28681.779438,
"RUS","GDP","TOT","USD_CAP","A","2019",29188.845686,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36517.579273,
"SVN","GDP","TOT","USD_CAP","A","2018",38953.468586,
"SVN","GDP","TOT","USD_CAP","A","2019",41184.960119,
"ZAF","GDP","TOT","USD_CAP","A","2016",12827.603574,
"ZAF","GDP","TOT","USD_CAP","A","2017",12952.21634,
"ZAF","GDP","TOT","USD_CAP","A","2018",13198.249784,
"ZAF","GDP","TOT","USD_CAP","A","2019",13285.683324,
"OECD","GDP","TOT","USD_CAP","A","2016",41846.013601,
"OECD","GDP","TOT","USD_CAP","A","2017",43440.217043,
"OECD","GDP","TOT","USD_CAP","A","2018",45165.124069,"E"
"OECD","GDP","TOT","USD_CAP","A","2019",46435.70186,"E"
"OECDE","GDP","TOT","USD_CAP","A","2016",40559.625449,
"OECDE","GDP","TOT","USD_CAP","A","2017",42486.886356,
"OECDE","GDP","TOT","USD_CAP","A","2018",44142.342913,"P"
"OECDE","GDP","TOT","USD_CAP","A","2019",45519.107023,"P"
"LVA","GDP","TOT","USD_CAP","A","2016",26712.835239,
"LVA","GDP","TOT","USD_CAP","A","2017",28666.003742,
"LVA","GDP","TOT","USD_CAP","A","2018",30814.222639,
"LVA","GDP","TOT","USD_CAP","A","2019",32013.343219,
"BRA","GDP","TOT","USD_CAP","A","2016",14326.10209,
"BRA","GDP","TOT","USD_CAP","A","2017",14596.889676,
"BRA","GDP","TOT","USD_CAP","A","2018",15090.63762,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"LTU","GDP","TOT","USD_CAP","A","2017",33761.906595,
"LTU","GDP","TOT","USD_CAP","A","2018",36346.416674,
"LTU","GDP","TOT","USD_CAP","A","2019",38765.028209,
"SAU","GDP","TOT","USD_CAP","A","2016",46289.737315,
"SAU","GDP","TOT","USD_CAP","A","2017",47862.022249,
"SAU","GDP","TOT","USD_CAP","A","2018",49157.12264,
"SAU","GDP","TOT","USD_CAP","A","2019",49020.211911,
"EA19","GDP","TOT","USD_CAP","A","2016",43624.76727,
"EA19","GDP","TOT","USD_CAP","A","2017",45704.243618,
"EA19","GDP","TOT","USD_CAP","A","2018",47664.792802,
"EA19","GDP","TOT","USD_CAP","A","2019",49442.449989,
"ARG","GDP","TOT","USD_CAP","A","2016",20307.870053,
"ARG","GDP","TOT","USD_CAP","A","2017",23597.117759,
"ARG","GDP","TOT","USD_CAP","A","2018",23305.847425,
"ARG","GDP","TOT","USD_CAP","A","2019",22996.985521,
"CRI","GDP","TOT","USD_CAP","A","2016",19119.336147,
"CRI","GDP","TOT","USD_CAP","A","2017",20368.230268,
"CRI","GDP","TOT","USD_CAP","A","2018",20988.161555,"E"
"CRI","GDP","TOT","USD_CAP","A","2019",21759.381303,"E"
"BGR","GDP","TOT","USD_CAP","A","2016",20019.638626,
"BGR","GDP","TOT","USD_CAP","A","2017",21387.279564,
"BGR","GDP","TOT","USD_CAP","A","2018",22911.128872,
"BGR","GDP","TOT","USD_CAP","A","2019",24579.331314,
"HRV","GDP","TOT","USD_CAP","A","2016",24887.753281,
"HRV","GDP","TOT","USD_CAP","A","2017",26765.579327,
"HRV","GDP","TOT","USD_CAP","A","2018",28533.220285,
"HRV","GDP","TOT","USD_CAP","A","2019",30231.248656,"P"
"CYP","GDP","TOT","USD_CAP","A","2016",35719.036739,
"CYP","GDP","TOT","USD_CAP","A","2017",38050.911642,
"CYP","GDP","TOT","USD_CAP","A","2018",40476.556692,
"CYP","GDP","TOT","USD_CAP","A","2019",41514.945576,"P"
"MLT","GDP","TOT","USD_CAP","A","2016",39774.055146,
"MLT","GDP","TOT","USD_CAP","A","2017",43530.402203,
"MLT","GDP","TOT","USD_CAP","A","2018",45811.440625,
"MLT","GDP","TOT","USD_CAP","A","2019",48269.429923,
"ROU","GDP","TOT","USD_CAP","A","2016",24266.283962,
"ROU","GDP","TOT","USD_CAP","A","2017",27136.07319,
"ROU","GDP","TOT","USD_CAP","A","2018",29244.574126,
"ROU","GDP","TOT","USD_CAP","A","2019",32293.146149,"P"
"MKD","GDP","TOT","USD_CAP","A","2016",15137.967397,"E"
"MKD","GDP","TOT","USD_CAP","A","2017",15706.430869,"E"
"MKD","GDP","TOT","USD_CAP","A","2018",16725.791726,"E"
"ZMB","GDP","TOT","USD_CAP","A","2016",3405.832772,
"ZMB","GDP","TOT","USD_CAP","A","2017",3484.940724,
"ZMB","GDP","TOT","USD_CAP","A","2018",3637.368088,
"HKG","GDP","TOT","USD_CAP","A","2016",57221.969152,"E"
"HKG","GDP","TOT","USD_CAP","A","2017",59846.819225,"E"
"HKG","GDP","TOT","USD_CAP","A","2018",62556.2405,"E"
"MDG","GDP","TOT","USD_CAP","A","2016",1624.383829,"E"
"MDG","GDP","TOT","USD_CAP","A","2017",1601.521574,"E"
"MDG","GDP","TOT","USD_CAP","A","2018",1655.481656,"E"
"MAR","GDP","TOT","USD_CAP","A","2016",7312.810289,"E"
"MAR","GDP","TOT","USD_CAP","A","2017",7581.215412,"E"
"MAR","GDP","TOT","USD_CAP","A","2018",7928.326114,"E"
"SGP","GDP","TOT","USD_CAP","A","2016",89396.724443,
"SGP","GDP","TOT","USD_CAP","A","2017",94945.250892,
"SGP","GDP","TOT","USD_CAP","A","2018",101280.413499,
"EU27_2020","GDP","TOT","USD_CAP","A","2016",39214.98772,
"EU27_2020","GDP","TOT","USD_CAP","A","2017",40785.371946,
"EU27_2020","GDP","TOT","USD_CAP","A","2018",42138.494838,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",43530.096073,
